user,XRD_Volume,swaps
rdx1qspjkfpd4hs6y2da6uasm8v57t5l59enz3rrp87u0lvqef7nx0ufdjsaqfc5k,8926.118214346860377916,32
rdx1qsptkad4ful6a6fx245ufrzxskwj4dwjgelansp5ay6q8vsggg3mersmq2gf3,8915.783142482989662256,23
rdx1qsp2mm6ha7hc6k5d5wlywuhu5k92yvt4npgx8snkfcauammaq5spmssm4c68t,8895.535397328544573751,20
rdx1qspr35tyme8lx5qvpmuxmcljf89maq0rnwmdmx3ax3l006na3g4mpfq0rvysd,8819.621439427342090014,33
rdx1qsp2jmc7kr0nuyvwd6c3jhw3z7ah0vpmyyq5a2vz95ts22w8re3565q9206em,8760.343764015463735905,21
rdx1qsp7as3830np5cdccm393xppfg37pq77h9kh8mc7rkdu92ayqfl77nqnz4wwy,8755.627820350046993075,24
rdx1qsppaa4jftuujrmwlc39yah246rw0agq2ypt6tlr8qnsgvn46plakzsua6zsw,8741.720478151348791605,45
rdx1qspfz8m4k9zewdhch8dmhsw6ujsnyn2rtn5df36rq0k7djn6jqruddsps62jq,8715.482305751451741751,28
rdx1qsp93qav6smwul2pqg0ngjdqnsk5zsx6wyyhegxmrz8hjrd6dm02ppcm7z75j,8669.284489926438671884,38
rdx1qsp2y867lyjx38znh82py028d5rtf5sk06h8kwtvlwny9n5gcuekmws87cdnn,8588.784883303991200618,22
rdx1qsph3smnnjm9xyr5vtnd9xzh25ke952dzh2n4n39dc5yulmq2r5kktcmtyyt9,8520.896228315794632956,21
rdx1qspc3s2x3h2t72wcrxgagsg6nm9ekzweyln5qgkmfwwwkzve0e9zapcvtgszy,8464.000000000000000000,19
rdx1qspqkuf3k78lrle44krdfff0hng3se8m5psjf8dnnau2462tq34m45c2w2ufk,8405.056844959663034433,17
rdx1qspnhgcavkvjdzc6g684p6tsmcc6cuukj4krdf560ejepw4lcrjea8c0j83qx,8360.142520770309271750,40
rdx1qspj8n7rdgyw5memdwwqa4kt8jcgp5sa9zgjhxr7ud83la5nd235lfc9ackzc,8346.749443706627538352,28
rdx1qspxc9dkudeapuhpxmh6kxj4rwljcrz92k4seazmdxyjezdndtfrtlqg2g6yy,8342.792539134461024234,53
rdx1qsprherng3pdsgk8wuv34cfczm5l7vvcqhwjq5ymwqfj5zsl43pr24c29y2je,8223.067399161860420063,33
rdx1qsp79vvylrywnhyd037qnh7lpecwemjednpk2r8chhnvzf8gkjkxxaqpr2wer,8052.347485752842962951,21
rdx1qspe9x6kclxqe6l5d3wdqdyg55gpfee5d026vl7dfetcf2qatv3mfks3yx4al,7956.488000148935165552,20
rdx1qsp0uwfrnth8we5qcf0kc53aq36jvd2dpkzt88ejkn4rq2ftsuerx9sg2z2ch,7913.564515636523413627,29
rdx1qspr9d0ne0ed7d7s5gd38qdt5ttfr9ahlwny6gje4pspvswrnyfag5c77aekv,7908.000000000000000000,17
rdx1qsp8caq53jnfuyfykgr46wssy7agdhpmxy27w4ete8h3knsvr88v8nsfj93nv,7830.546927838520053413,17
rdx1qspex7nx67r8k5k22tujnf7ykamdeqs872dlqfkv237m9rlxngp5qpgayxsvv,7829.744463188805495026,12
rdx1qsp328xugrxvazuzxcflys5g8ccndyy95h7axvzfyp6p03e3q87j5ps2l92ls,7707.807642079178740461,34
rdx1qsp8u6hj2408gdtlfzlfhy3ac3hlvj3wfpx79gnfkppel8jue7wjthqd5aq0c,7645.608619046637238283,41
rdx1qspa5lmew7flf54yjjcfc8r847dj08dkfx6h36v85lftv2e40vznt4cf4zrp7,7562.198111521841695827,64
rdx1qspww0ne6spq332jvxfj4zacl5dmlwsqa8tmy9qgqmnx4dhq5rmxwfspc96ej,7524.754573432814216400,23
rdx1qspemnvzvpmmvrpgay0sq8tatcahlyvxzynvzd3pgmeskqxhfddcd3qlqn7an,7462.280921116555367535,17
rdx1qspgyupwxvgzucsvqv3gt6azv0uywlz898fj0c4cw64qadmzutrgqdqz6y7ss,7439.295782588238548567,28
rdx1qspr8cresreh4pa73s5wzluyt9r89wjv6w99f7mkqdfzs0t3jem6qrq97w7h3,7428.838232915949381963,18
rdx1qspmq9myhpx4gklkummz8rz3zk4gqx9gxfnwf36h7kg8ktcx89e0qcgq866jv,7374.536852343542816881,16
rdx1qspzw5wlku8w3qsw7rqxm60x0vlxy8jdj327thwd9d7kfc7gvyqtxkqcz27ke,7303.574611476742486521,33
rdx1qspms9zlkqwm7qt6jm38mctpgmxr8f03m053fruprv949hmpd4v7u8s8fqudu,7269.075505488319955451,32
rdx1qspaa2p8lajyverzclxdjdkyde66ezfrllhxp2g3nxxfevdeurl8xecxqfnf5,7251.926262626262626264,36
rdx1qspw4a08y9f75zxxdtpld5krpq3wr2c5tmmkv7772kr8auseg0sm55qnz7f6g,7249.500000000000000000,8
rdx1qsp409qra66xxuf4l4rsqz858a97xa9jgtulan9sj595ld5fq8r63xcyvsl7h,7207.041781078305823333,41
rdx1qspk29u82se5wsxqlfuyp7uz2ce59qrm8t4ngf4wa2c36yzdz4v5kjc88fyyw,7148.435059122552779030,31
