address,total_staked
rdx1qspmdcdg05q09ahj0lmyk6594zw50387grsjgwpq36s9dt32yqdd30cvgz82l,1844469.68053
rdx1qspujnumu86yja3s9gha4hskfh8gsv3l9cnj5lupspfraulmmtw4z9sk5e8jh,1838837.59596
rdx1qsp528rhdp4kdq53k650trsgfu6f6p9z6xtq7dj9dsjwa4tgwwuk2cg3asmkt,1836722.53434
rdx1qspa7p5upgcvtp563w8jhhznkn3aa36e2j24tsjvtxg5uzwk64sfpvg6neqtj,1819638.09275
rdx1qsp6al2hpp2zkv9zwsp2qjc7r0wc75ela338tdw46xuszaapyyqt3kcz8acpc,1816219.28659
rdx1qspx4uaz50yvdwcwzvz0hwfy632htrzfwluj7904ppt74h8k57gps7sce99xy,1815901.4756
rdx1qspe67n5axljc3j7pmpz2m3v7l0hkkj3pdrhw7px8zv3mf4d6425m4qmhhpa6,1780350.90198
rdx1qsp29jfu7gj9ayzwhdxdkcrlxsgky03xsvmxjhkdvnxs7njqwa2r7gghpgd6r,1772395.33816
rdx1qspv5k7evpe2ltejvgvgsvnmg6f0gdh08pf584e43xnvydd7s9c38yg60c0rr,1772235.24184
rdx1qspkxe3xsc9rdms9u85fyj2ydldp8crjvtatf5zycv6rqq0vynvkx2qsmlwc3,1771179.86954
rdx1qspf93g9v6ft68ak6scqd4pdeskhyyrgaje5pg2a8qxwkrac67zts7c59ls0u,1768648.31468
rdx1qsp2a77f9jzaql4u8pwu8acyg40rerny7gydpapzr3l83egxqjqqchqcqsg5e,1745065.56862
rdx1qspjc95mjgvvrpzcd3trps7e2k8gzqxxlcm26cxcjkqvew9w5khulhqeay7vy,1743491.98655
rdx1qsptldzp85dvyar0f0fzwvlwc9rm80457c00sv6qg5nrnnjh7hsztncjdpchz,1742469.32848
rdx1qspymhw33s4xqqvaj302jezjvwk6wm3uk6xks7zme8m68kegprmh5mqeynqyp,1740697.21908
rdx1qspxfj3u446v9as2cs2u62z3gmea6tetgm3wguxhhc6xyt8cz5c7hscyknlyx,1731792.21961
